Wavelength (nm),Voltage (V),Current (nA),Data Collection Day
435.8,0.64,0.01093,2
435.8,0.64,0.0143,2
435.8,0.64,0.01662,2
435.8,0.64,0.01662,2
435.8,0.72,0.01887,2
435.8,0.72,0.01728,2
435.8,0.72,0.01609,2
435.8,0.72,0.01559,2
435.8,0.72,0.01522,2
435.8,0.72,0.01461,2
435.8,0.72,0.01441,2
435.8,0.72,0.01427,2
435.8,0.72,0.0142,2
435.8,0.72,0.01422,2
435.8,0.78,0.01332,2
435.8,0.78,0.0125,2
435.8,0.78,0.01242,2
435.8,0.78,0.01168,2
435.8,0.78,0.01089,2
435.8,0.78,0.01053,2
435.8,0.78,0.0105,2
435.8,0.78,0.01028,2
435.8,0.78,0.01002,2
435.8,0.78,0.00998,2
435.8,0.86,0.00494,2
435.8,0.86,0.00438,2
435.8,0.86,0.00374,2
435.8,0.86,0.00342,2
435.8,0.86,0.00333,2
435.8,0.86,0.00294,2
435.8,0.86,0.00301,2
435.8,0.86,0.00292,2
435.8,0.86,0.00292,2
435.8,0.86,0.00283,2
435.8,0.9,-0.00049,2
435.8,0.9,-0.00044,2
435.8,0.9,-0.00042,2
435.8,0.9,-0.00048,2
435.8,0.9,-0.0003,2
435.8,0.9,-0.00015,2
435.8,0.9,-0.00023,2
435.8,0.9,-0.00041,2
435.8,0.9,-0.00033,2
435.8,0.9,-0.00042,2
435.8,2.6,-0.05351,2
435.8,2.6,-0.05358,2
435.8,2.6,-0.05358,2
435.8,2.6,-0.05359,2
435.8,2.6,-0.05348,2
435.8,2.6,-0.05354,2
435.8,2.6,-0.05351,2
435.8,2.6,-0.05356,2
435.8,2.6,-0.05363,2
435.8,2.6,-0.05347,2
435.8,2.4,-0.05339,2
435.8,2.4,-0.05343,2
435.8,2.4,-0.05341,2
435.8,2.4,-0.05338,2
435.8,2.4,-0.05349,2
435.8,2.4,-0.05343,2
435.8,2.4,-0.05339,2
435.8,2.4,-0.05343,2
435.8,2.4,-0.05329,2
435.8,2.4,-0.05339,2
435.8,2.2,-0.05321,2
435.8,2.2,-0.05323,2
435.8,2.2,-0.05309,2
435.8,2.2,-0.05328,2
435.8,2.2,-0.0532,2
435.8,2.2,-0.05324,2
435.8,2.2,-0.05315,2
435.8,2.2,-0.05316,2
435.8,2.2,-0.05317,2
435.8,2.2,-0.05325,2
435.8,2,-0.0529,2
435.8,2,-0.0529,2
435.8,2,-0.05297,2
435.8,2,-0.05289,2
435.8,2,-0.0529,2
435.8,2,-0.05289,2
435.8,2,-0.05297,2
435.8,2,-0.05281,2
435.8,2,-0.05286,2
435.8,2,-0.05289,2
435.8,1.8,-0.05228,2
435.8,1.8,-0.05227,2
435.8,1.8,-0.05222,2
435.8,1.8,-0.05225,2
435.8,1.8,-0.05227,2
435.8,1.8,-0.05213,2
435.8,1.8,-0.05217,2
435.8,1.8,-0.05211,2
435.8,1.8,-0.05212,2
435.8,1.8,-0.05213,2
435.8,1.62,-0.05066,2
435.8,1.62,-0.05054,2
435.8,1.62,-0.05043,2
435.8,1.62,-0.05039,2
435.8,1.62,-0.05032,2
435.8,1.62,-0.05031,2
435.8,1.62,-0.05025,2
435.8,1.62,-0.05016,2
435.8,1.62,-0.05012,2
435.8,1.62,-0.05011,2
435.8,1.35,-0.04547,2
435.8,1.35,-0.0451,2
435.8,1.35,-0.04539,2
435.8,1.35,-0.04542,2
435.8,1.35,-0.04558,2
435.8,1.35,-0.04557,2
435.8,1.35,-0.04557,2
435.8,1.35,-0.04554,2
435.8,1.35,-0.04546,2
435.8,1.35,-0.04538,2
435.8,1.2,-0.04634,2
435.8,1.2,-0.04602,2
435.8,1.2,-0.04608,2
435.8,1.2,-0.0458,2
435.8,1.2,-0.04578,2
435.8,1.2,-0.04575,2
435.8,1.2,-0.04546,2
435.8,1.2,-0.04539,2
435.8,1.2,-0.04521,2
435.8,1.2,-0.0452,2
435.8,0,-0.02938,2
435.8,0,-0.02857,2
435.8,0,-0.02805,2
435.8,0,-0.02742,2
435.8,0,-0.02671,2
435.8,0,-0.02629,2
435.8,0,-0.02606,2
435.8,0,-0.0256,2
435.8,0,-0.02541,2
435.8,0,-0.02499,2
