x, y
896.9581335200904, 1.8013809817369033
0.36184438442512495, 107.49548163279933
0.37225623146653536, 96.45054868897458
0.4943621932128447, 77.64877097507818
0.5232220030231328, 75.28034845632068
0.6754121960610542, 56.96465153178834
0.42294465771085993, 83.90094865842862
0.37225623146653536, 96.45054868897458
0.3996159324063298, 97.95609007797275
0.36184438442512495, 107.49548163279933
0.3996159324063298, 97.95609007797275
0.3276428117022117, 109.17333175315008
0.5232220030231328, 68.59982076378584
0.6754121960610542, 56.96465153178834
0.5697008759547099, 65.48523714045463
0.63815824507885, 56.08914682928727
0.5616772290684752, 65.48523714045463
0.42294465771085993, 83.90094865842862
0.41698792018574304, 90.65654352782478
0.41698792018574304, 89.2631929116864
0.7894612903803312, 49.55268925657199
0.8474842943828619, 45.860094323215215
0.9359499306244093, 41.79037843599055
1.0939930375425653, 37.49652776383518
1.0939930375425653, 37.49652776383518
1.2254506332663642, 34.70234059626697
1.4528401452636068, 29.72310648962309
1.4528401452636068, 29.72310648962309
1.6274179221902154, 27.93754670987599
1.9022202517991214, 22.842539059716056
1.9022202517991214, 22.842539059716056
2.071199459928577, 22.491479361390432
1.722423107378481, 26.259266594000493
1.722423107378481, 26.259266594000493
2.192110478080531, 21.140345994871954
2.4906001228336887, 19.264309688657793
2.750585809021164, 16.75773178761094
2.952745501143942, 13.491026343824617
1.9293948089751471, 19.264309688657793
2.192110478080531, 21.140345994871954
2.192110478080531, 21.140345994871954
3.4513398274031415, 14.577306175084608
3.5006446496943293, 12.680578282635178
3.7050028088053453, 11.030643361039623
4.269629382201359, 9.745165930822392
4.78268128834207, 8.092294924213695
6.173828702199648, 7.0393691857842775
6.627586336505048, 6.824656186620255
6.818291010004584, 6.514805546970119
6.818291010004584, 6.514805546970119
4.78268128834207, 8.092294924213695
5.433917096482006, 7.967927024155401
7.746706471611237, 5.6671308637050695
7.746706471611237, 5.6671308637050695
10.142851560842907, 4.705932628419102
10.142851560842907, 4.779388303513852
11.523957207411872, 4.288313749678744
13.280158971826003, 3.673008910999152
16.428795708904886, 3.0976444683998126
8.92727621816487, 5.244824445467403
19.067231346452516, 2.7287173302285943
24.788518420112172, 2.146339984126082
26.42233039874853, 2.0970497219202713
20.83476753009773, 2.4483488535355615
14.357683057035572, 3.173523066945422
33.38980738991081, 1.7823007101649877
30.448980483527595, 1.8962120888745713
38.47827115250564, 1.7146079675706472
47.264841545207794, 1.599174033912299
42.797340143480604, 1.599174033912299
65.03421303908138, 1.4800058914002947
71.56863139088036, 1.4685889865751853
53.321149532647546, 1.5031075463709787
79.60199274804042, 1.4685889865751853
79.60199274804042, 1.4685889865751853
93.70567996244256, 1.4404301252303084
97.43308653309013, 1.4293185115924634
108.7546470221238, 1.4572601528290785
147.53360907161397, 1.4629140355686423
115.92266900817955, 1.4460187107733766
154.49405795768158, 1.4629140355686423
154.49405795768158, 1.4629140355686423
131.70732796450548, 1.4293185115924634
173.05844938831757, 1.4572601528290785
173.05844938831757, 1.4572601528290785
218.69336296491994, 1.4972983234053694
193.85379419092806, 1.4857480231312665
